outletSubAccountNumber,nbaCode,action 
1.80538E+11,NBA_0006,N
1.80549E+11,NBA_0006,N
1.80563E+11,NBA_0006,N
1.80575E+11,NBA_0006,N
1.80588E+11,NBA_0006,N
1.80592E+11,NBA_0006,N
1.80592E+11,NBA_0006,N
1.80727E+11,NBA_0006,N
1.80731E+11,NBA_0006,N
1.80736E+11,NBA_0006,N
1.80736E+11,NBA_0006,N
1.80737E+11,NBA_0006,N
1.80771E+11,NBA_0006,N
1.80776E+11,NBA_0006,N
1.80806E+11,NBA_0006,N
1.80842E+11,NBA_0006,N
1.80842E+11,NBA_0006,N
1.80858E+11,NBA_0006,N
1.8086E+11,NBA_0006,N
1.80861E+11,NBA_0006,N
1.80902E+11,NBA_0006,N
1.80908E+11,NBA_0006,N
1.80959E+11,NBA_0006,N
1.8096E+11,NBA_0006,N
1.80964E+11,NBA_0006,N
1.80974E+11,NBA_0006,N
1.80975E+11,NBA_0006,N
1.81163E+11,NBA_0006,N
1.81178E+11,NBA_0006,N
1.81178E+11,NBA_0006,N
1.81229E+11,NBA_0006,N
1.81243E+11,NBA_0006,N
1.81272E+11,NBA_0006,N
1.81272E+11,NBA_0006,N
1.81307E+11,NBA_0006,N
1.81309E+11,NBA_0006,N
1.8131E+11,NBA_0006,N
1.81332E+11,NBA_0006,N
1.81341E+11,NBA_0006,N
1.81346E+11,NBA_0006,N
1.81376E+11,NBA_0006,N
1.81384E+11,NBA_0006,N
1.8139E+11,NBA_0006,N
1.81393E+11,NBA_0006,N
1.81406E+11,NBA_0006,N
1.81416E+11,NBA_0006,N
1.81436E+11,NBA_0006,N
1.81437E+11,NBA_0006,N
1.81437E+11,NBA_0006,N
1.81447E+11,NBA_0006,N
1.81456E+11,NBA_0006,N
1.81485E+11,NBA_0006,N
1.81524E+11,NBA_0006,N
1.81899E+11,NBA_0006,N
1.81905E+11,NBA_0006,N
1.81924E+11,NBA_0006,N
1.81926E+11,NBA_0006,N
1.81957E+11,NBA_0006,N
1.81968E+11,NBA_0006,N
1.82039E+11,NBA_0006,N
1.82047E+11,NBA_0006,N
1.82077E+11,NBA_0006,N
1.82077E+11,NBA_0006,N
1.82084E+11,NBA_0006,N
1.82085E+11,NBA_0006,N
1.82085E+11,NBA_0006,N
1.82089E+11,NBA_0006,N
1.82096E+11,NBA_0006,N
1.82109E+11,NBA_0006,N
1.82122E+11,NBA_0006,N
1.82129E+11,NBA_0006,N
1.82176E+11,NBA_0006,N
1.82193E+11,NBA_0006,N
1.82201E+11,NBA_0006,N
1.82211E+11,NBA_0006,N
1.82212E+11,NBA_0006,N
