outletSubAccountNumber,nbaCode,action
1.87818E+11,NBA_0006,N
1.87818E+11,NBA_0009,N
1.87818E+11,NBA_0012,N
1.87819E+11,NBA_0001,N
1.87819E+11,NBA_0005,N
1.87819E+11,NBA_0006,N
1.87819E+11,NBA_0009,N
1.87819E+11,NBA_0012,N
1.87819E+11,NBA_0046,P
1.87821E+11,NBA_0005,N
1.87821E+11,NBA_0006,N
1.87821E+11,NBA_0009,N
1.87821E+11,NBA_0012,N
1.87821E+11,NBA_0046,P
1.87822E+11,NBA_0046,P
1.87824E+11,NBA_0045,P
1.87829E+11,NBA_0005,N
1.87829E+11,NBA_0006,N
1.87829E+11,NBA_0046,P
1.8783E+11,NBA_0005,N
1.8783E+11,NBA_0006,N
1.87833E+11,NBA_0009,N
1.87834E+11,NBA_0009,N
1.87838E+11,NBA_0001,N
1.87838E+11,NBA_0005,N
1.87838E+11,NBA_0006,N
1.87838E+11,NBA_0009,N
1.87838E+11,NBA_0012,N
1.87839E+11,NBA_0046,P
1.87839E+11,NBA_0046,P
1.8784E+11,NBA_0046,P
1.87841E+11,NBA_0005,N
1.87841E+11,NBA_0006,N
1.87841E+11,NBA_0009,N
1.87841E+11,NBA_0012,N
1.87841E+11,NBA_0046,P
1.87842E+11,NBA_0005,N
1.87842E+11,NBA_0006,N
1.87842E+11,NBA_0046,P
1.87843E+11,NBA_0046,P
1.87843E+11,NBA_0001,N
1.87843E+11,NBA_0005,N
1.87843E+11,NBA_0006,N
1.87843E+11,NBA_0009,N
1.87843E+11,NBA_0012,N
1.87844E+11,NBA_0005,N
1.87844E+11,NBA_0006,N
1.87845E+11,NBA_0009,N
1.87845E+11,NBA_0012,N
1.87847E+11,NBA_0001,N
1.87847E+11,NBA_0005,N
1.87847E+11,NBA_0006,N
1.87847E+11,NBA_0009,N
1.87847E+11,NBA_0012,N
1.87848E+11,NBA_0046,P
1.87849E+11,NBA_0046,P
1.87849E+11,NBA_0001,N
1.87849E+11,NBA_0005,N
1.87849E+11,NBA_0006,N
1.87849E+11,NBA_0009,N
1.87849E+11,NBA_0012,N
1.87849E+11,NBA_0046,P
1.87852E+11,NBA_0005,N
1.87852E+11,NBA_0006,N
1.87852E+11,NBA_0009,N
1.87852E+11,NBA_0012,N
1.87854E+11,NBA_0005,N
1.87854E+11,NBA_0006,N
1.87855E+11,NBA_0046,P
1.87856E+11,NBA_0005,N
1.87856E+11,NBA_0006,N
1.87856E+11,NBA_0005,N
1.87856E+11,NBA_0006,N
1.87856E+11,NBA_0009,N
1.87856E+11,NBA_0012,N
1.87857E+11,NBA_0046,P
1.87857E+11,NBA_0001,N
1.87857E+11,NBA_0005,N
1.87857E+11,NBA_0006,N
1.87857E+11,NBA_0009,N
1.87857E+11,NBA_0012,N
1.87858E+11,NBA_0001,N
1.87858E+11,NBA_0001,N
1.87861E+11,NBA_0046,P
1.87861E+11,NBA_0001,N
1.87862E+11,NBA_0005,N
1.87862E+11,NBA_0006,N
1.87862E+11,NBA_0001,N
1.87862E+11,NBA_0005,N
1.87862E+11,NBA_0006,N
1.87862E+11,NBA_0009,N
1.87862E+11,NBA_0012,N
1.87862E+11,NBA_0046,P
1.87862E+11,NBA_0045,P
1.87863E+11,NBA_0005,N
1.87863E+11,NBA_0006,N
1.87863E+11,NBA_0009,N
1.87863E+11,NBA_0012,N
1.87866E+11,NBA_0001,N
1.87867E+11,NBA_0005,N
1.87867E+11,NBA_0006,N
1.87869E+11,NBA_0045,P
1.87869E+11,NBA_0046,P
1.8787E+11,NBA_0046,P
1.8787E+11,NBA_0046,P
1.87871E+11,NBA_0001,N
1.87872E+11,NBA_0001,N
1.87872E+11,NBA_0005,N
1.87872E+11,NBA_0006,N
1.87872E+11,NBA_0009,N
1.87872E+11,NBA_0012,N
1.87872E+11,NBA_0045,P
1.87872E+11,NBA_0046,P
1.87873E+11,NBA_0001,N
1.87873E+11,NBA_0005,N
1.87873E+11,NBA_0006,N
1.87873E+11,NBA_0009,N
1.87873E+11,NBA_0012,N
1.87874E+11,NBA_0005,N
1.87874E+11,NBA_0006,N
1.87875E+11,NBA_0009,N
1.87875E+11,NBA_0005,N
1.87875E+11,NBA_0006,N
1.87878E+11,NBA_0046,P
1.87878E+11,NBA_0046,P
1.87879E+11,NBA_0005,N
1.87879E+11,NBA_0006,N
1.87879E+11,NBA_0005,N
1.87879E+11,NBA_0006,N
1.87879E+11,NBA_0045,P
1.8788E+11,NBA_0046,P
1.8788E+11,NBA_0001,N
1.8788E+11,NBA_0005,N
1.8788E+11,NBA_0006,N
1.8788E+11,NBA_0009,N
1.8788E+11,NBA_0012,N
1.8788E+11,NBA_0005,N
1.8788E+11,NBA_0006,N
1.87883E+11,NBA_0046,P
1.87884E+11,NBA_0005,N
1.87884E+11,NBA_0006,N
1.87884E+11,NBA_0045,P
1.87884E+11,NBA_0005,N
1.87884E+11,NBA_0006,N
1.87885E+11,NBA_0045,P
1.87885E+11,NBA_0046,P
1.87886E+11,NBA_0001,N
1.87886E+11,NBA_0005,N
1.87886E+11,NBA_0006,N
1.87887E+11,NBA_0046,P
1.87887E+11,NBA_0005,N
1.87887E+11,NBA_0006,N
1.87887E+11,NBA_0005,N
1.87887E+11,NBA_0006,N
1.87888E+11,NBA_0046,P
1.87888E+11,NBA_0001,N
1.87888E+11,NBA_0005,N
1.87888E+11,NBA_0006,N
1.87888E+11,NBA_0009,N
1.87888E+11,NBA_0012,N
1.87889E+11,NBA_0001,N
1.87889E+11,NBA_0005,N
1.87889E+11,NBA_0006,N
1.87889E+11,NBA_0009,N
1.87889E+11,NBA_0012,N
1.87889E+11,NBA_0046,P
1.8789E+11,NBA_0046,P
1.8789E+11,NBA_0046,P
1.8789E+11,NBA_0046,P
1.87893E+11,NBA_0046,P
1.87894E+11,NBA_0009,N
1.87894E+11,NBA_0046,P
1.87894E+11,NBA_0046,P
1.87895E+11,NBA_0005,N
1.87895E+11,NBA_0006,N
1.87895E+11,NBA_0009,N
1.87895E+11,NBA_0012,N
1.87895E+11,NBA_0046,P
1.87895E+11,NBA_0009,N
1.87895E+11,NBA_0046,P
1.87895E+11,NBA_0005,N
1.87895E+11,NBA_0006,N
1.87895E+11,NBA_0009,N
1.87895E+11,NBA_0012,N
1.87895E+11,NBA_0001,N
1.87896E+11,NBA_0005,N
1.87896E+11,NBA_0006,N
1.87897E+11,NBA_0005,N
1.87897E+11,NBA_0006,N
1.87897E+11,NBA_0046,P
1.87897E+11,NBA_0046,P
1.87898E+11,NBA_0046,P
1.87899E+11,NBA_0009,N
1.879E+11,NBA_0046,P
1.87902E+11,NBA_0046,P
1.87903E+11,NBA_0005,N
1.87903E+11,NBA_0006,N
1.87903E+11,NBA_0005,N
1.87903E+11,NBA_0006,N
1.87903E+11,NBA_0046,P
1.87904E+11,NBA_0005,N
1.87904E+11,NBA_0006,N
1.87904E+11,NBA_0046,P
1.87905E+11,NBA_0001,N
1.87905E+11,NBA_0005,N
1.87905E+11,NBA_0006,N
1.87905E+11,NBA_0009,N
1.87905E+11,NBA_0012,N
1.87906E+11,NBA_0046,P
1.87906E+11,NBA_0046,P
1.87907E+11,NBA_0005,N
1.87907E+11,NBA_0006,N
