SubAccountNumber,EscalatedNote,Action
180388300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
180447800004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
180467800004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
180482000004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
180516600004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
180520300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
180545300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
180546400004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
180546600004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
180730400004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
180808700004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
180915800004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
181125100004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
181134600004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
181139900004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
181435800004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
181437500004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
181902000004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
182075400004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182121900004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182182700004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182191400004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
182208900004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
182275400004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182305800004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
182340100004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182417000004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182486200004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182489100004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182512600004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182522700004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
182558100004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182592600004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182645700004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182708000004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
182724600004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182752000004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
182796800004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182809900004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
182811300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182820600004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182874400004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182903600004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182905900004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182908200004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182908300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182908700004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182910800004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182912400004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182926800004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182927200004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182929900004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182931500004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182931700004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182933300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182933500004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182943300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182943800004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182945500004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182946100004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182947900004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182948000004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182948400004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182950100004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182954200004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182960400004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
182980700004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182987900004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
182996000004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
183000700004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
183215300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
183527900004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
183637400004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
183743800004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
183779300004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
183850500004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
183865000004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
183892500004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
183901900004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
183904700004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
183937700004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
183943100004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
183987300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
183996500004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
184032300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
184287700004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
184337200004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
184349400004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
184366300004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
184499000004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
184544100004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
184625100004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
184628000004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
184645800004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
184666900004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
184675100004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
184675100005,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
184675100006,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
184675100007,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
184696800004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
184705400004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
184948300004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
185123500004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
185126800004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
185127300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
185153300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
185219500004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
185226300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
185285400004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
185487300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
185557500004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
185816900004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
185816900005,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
185816900006,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
185816900007,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
185816900008,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
185816900009,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
185816900010,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
185816900011,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
185816900012,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
185816900013,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
185816900014,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
185816900015,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
