102962400004,7000,,,01/08/2016,,,,,,7000,,,N,Price Review 2016
103011300004,999999,,,01/08/2016,,,,,,4301,999999,,N,Price Review 2016
103016700004,12600,,,01/08/2016,,,,,,2751,4301,12600,N,Price Review 2016
103032800004,13600,,,01/08/2016,,,,,,13600,,,N,Price Review 2016
103051200004,999999,,,01/08/2016,,,,,,33001,999999,,N,Price Review 2016
103059200004,9750,,,01/08/2016,,,,,,9750,,,N,Price Review 2016
103085300004,40200,,,01/08/2016,,,,,,40200,,,N,Price Review 2016
103089600004,26000,,,01/08/2016,,,,,,2751,4301,26000,N,Price Review 2016
103098100004,13700,,,01/08/2016,,,,,,13700,,,N,Price Review 2016
103104300004,31300,,,01/08/2016,,,,,,31300,,,N,Price Review 2016
103132200004,5000,,,01/08/2016,,,,,,5000,,,N,Price Review 2016
103135700004,19500,,,01/08/2016,,,,,,19500,,,N,Price Review 2016
103194600004,43300,,,01/08/2016,,,,,,25001,33001,43300,N,Price Review 2016
103197800004,11000,,,01/08/2016,,,,,,7451,11000,,N,Price Review 2016
103229500004,80700,,,01/08/2016,,,,,,52001,80700,,N,Price Review 2016
103234600004,5000,,,01/08/2016,,,,,,5000,,,N,Price Review 2016
103244700004,9350,,,01/08/2016,,,,,,9350,,,N,Price Review 2016
103289500004,10600,,,01/08/2016,,,,,,10600,,,N,Price Review 2016
103336400004,30000,,,01/08/2016,,,,,,30000,,,N,Price Review 2016
103445000004,59100,,,01/08/2016,,,,,,2751,4301,59100,N,Price Review 2016
103471300004,11600,,,01/08/2016,,,,,,11600,,,N,Price Review 2016
103473100004,11000,,,01/08/2016,,,,,,11000,,,N,Price Review 2016
103503000004,8900,,,01/08/2016,,,,,,4301,5751,8900,N,Price Review 2016
103537500004,7000,,,01/08/2016,,,,,,7000,,,N,Price Review 2016
103540300004,5000,,,01/08/2016,,,,,,5000,,,N,Price Review 2016
103550100004,27000,,,01/08/2016,,,,,,27000,,,N,Price Review 2016
103563200004,3000,,,01/08/2016,,,,,,3000,,,N,Price Review 2016
103589200004,74000,,,01/08/2016,,,,,,74000,,,N,Price Review 2016
103656400004,18600,,,01/08/2016,,,,,,18600,,,N,Price Review 2016
103657600004,10200,,,01/08/2016,,,,,,10200,,,N,Price Review 2016
103669700004,999999,,,01/08/2016,,,,,,5751,999999,,N,Price Review 2016
103706700004,999999,,,01/08/2016,,,,,,19301,999999,,N,Price Review 2016
103776300004,8100,,,01/08/2016,,,,,,5751,8100,,N,Price Review 2016
103788100004,10000,,,01/08/2016,,,,,,7451,10000,,N,Price Review 2016
103791200004,12500,,,01/08/2016,,,,,,12500,,,N,Price Review 2016
103809000004,6700,,,01/08/2016,,,,,,6700,,,N,Price Review 2016
103809900004,7500,,,01/08/2016,,,,,,7500,,,N,Price Review 2016
103853700004,6650,,,01/08/2016,,,,,,6650,,,N,Price Review 2016
103970900004,10400,,,01/08/2016,,,,,,7451,10400,,N,Price Review 2016
103982200004,90400,,,01/08/2016,,,,,,90400,,,N,Price Review 2016
103985300004,7750,,,01/08/2016,,,,,,7750,,,N,Price Review 2016
104005400004,2500,,,01/08/2016,,,,,,2500,,,N,Price Review 2016
104035500004,9000,,,01/08/2016,,,,,,9000,,,N,Price Review 2016
104073000004,9500,,,01/08/2016,,,,,,9500,,,N,Price Review 2016
104084600004,10000,,,01/08/2016,,,,,,5751,7451,10000,N,Price Review 2016
104099300004,27000,,,01/08/2016,,,,,,9301,11901,27000,N,Price Review 2016
104106100004,7600,,,01/08/2016,,,,,,5751,7600,,N,Price Review 2016
104114600004,12500,,,01/08/2016,,,,,,2751,4301,12500,N,Price Review 2016
104119700004,5500,,,01/08/2016,,,,,,5500,,,N,Price Review 2016
104171200004,4000,,,01/08/2016,,,,,,4000,,,N,Price Review 2016
104202800004,22800,,,01/08/2016,,,,,,22800,,,N,Price Review 2016
