billingsubaccount,outletsubaccount,agreementid,chargeableid,offercode,overrideprice,effectivedate
100989600003,100989600004,00000000000000666606_00000001379337310617_00113,00000000000000673522_00000001380188106376_00021,RUK_STA_GEN_O  ,52.50,01/08/2016
101178600003,101178600004,00000000000000672919_00000001380467058348_01505,00000000000000672996_00000001380468842448_01438,RUK_STA_GEN_O  ,52.50,01/08/2016
101236900003,101236900004,MIGPRD00000000443419_00000008060041412224_14260,00000000000000674314_00000001380623343704_00143,RUK_ALC_GEN_O  ,52.50,01/08/2016
101334000003,101334000004,MIGPRD00000000444390_00000008060041901098_07972,00000000000000668447_00000001379591623373_00484,RUK_ALC_GEN_O  ,52.50,01/08/2016
101387400003,101387400004,MIGPRD00000000444924_00000008060041371413_57046,00000000000000672967_00000001380215920965_00481,RUK_ALC_GEN_O  ,52.50,01/08/2016
101417900003,101417900004,MIGPRD00000000445229_00000008060041729588_84843,00000000000001252324_00000001447949510545_00001,RUK_ALC_GEN_O  ,52.50,01/08/2016
101529100003,101529100004,MIGPRD00000000446341_00000008060041922184_84941,00000000000000667803_00000001379591981085_01197,RUK_ALC_GEN_O  ,52.50,01/08/2016
101627800003,101627800004,00000000000000382090_00000001340709946424_00260,00000000000000701559_00000001384177115375_00113,RUK_ALC_GEN_O  ,52.50,01/08/2016
101838000003,101838000004,MIGPRD00000000449430_00000008060041661970_62301,00000000000000668015_00000001379519697837_00431,RUK_ALC_GEN_O  ,52.50,01/08/2016
101945400003,101945400004,00000000000000317173_00000001331119603330_00019,00000000000000668342_00000001379519857689_00317,RUK_ALC_GEN_O  ,52.50,01/08/2016
101976000003,101976000004,MIGPRD00000000450810_00000008060041194489_94946,00000000000000673622_00000001380215306144_00277,RUK_ALC_GEN_O  ,52.50,01/08/2016
101996800003,101996800004,MIGPRD00000000451018_00000008060041998698_15446,00000000000000673583_00000001380549933432_01876,RUK_ALC_GEN_O  ,52.50,01/08/2016
102103700003,102103700004,MIGPRD00000000452087_00000008060041869827_12246,00000000000000673309_00000001380215335505_00631,RUK_ALC_GEN_O  ,52.50,01/08/2016
102272000003,102272000004,MIGPRD00000000453770_00000008060042080338_57352,00000000000000673622_00000001380552176757_01308,RUK_ALC_GEN_O  ,52.50,01/08/2016
102278000003,102278000004,MIGPRD00000000453830_00000008060041692767_63269,00000000000001124865_00000001435074244641_00037,RUK_ALC_GEN_O  ,52.50,01/08/2016
102316600003,102316600004,00000000000000617553_00000001372858084557_00185,00000000000000671870_00000001380020188648_00018,RUK_ALC_GEN_O  ,52.50,01/08/2016
102466300003,102466300004,MIGPRD00000000455713_00000008060041318975_39986,00000000000000668225_00000001379520153603_00280,RUK_ALC_GEN_O  ,52.50,01/08/2016
102638300003,102638300004,MIGPRD00000000457433_00000008060042090335_01597,00000000000000673034_00000001380279347944_00303,RUK_ALC_GEN_O  ,52.50,01/08/2016
102827500003,102827500004,MIGPRD00000000459325_00000008060041265755_65971,00000000000000670494_00000001379845928050_00203,RUK_ALC_GEN_O  ,52.50,01/08/2016
102854800003,102854800004,00000000000000383286_00000001340810133053_00018,00000000000000668005_00000001379593875929_01296,RUK_ALC_GEN_O  ,52.50,01/08/2016
103040900003,103040900004,MIGPRD00000000461459_00000008060041817976_64554,00000000000000667793_00000001379520316443_00511,RUK_ALC_GEN_O  ,52.50,01/08/2016
103131100003,103131100004,00000000000000666300_00000001379337315016_00300,00000000000000668447_00000001379598930931_00900,RUK_STA_GEN_O  ,52.50,01/08/2016
