"Sky Reference Number - Outlet","Marketing tag"
"182522700004","BNB 12-13"
"120695900004","BNB 12-13"
"181261300004","BNB 12-13"
"139217900004","BNB 12-13"
"136687600004","BNB 12-13"
"182391600004","BNB 12-13"
"182523400004","BNB 12-13"
"132968900004","BNB 12-13"
"182523600004","BNB 12-13"
"123754400004","BNB 12-13"
"182523900004","BNB 12-13"
"182498900004","BNB 12-13"
"182499200004","BNB 12-13"
"182499500004","BNB 12-13"
"118918300004","BNB 12-13"
"182499900004","BNB 12-13"
"182500600004","BNB 12-13"
"135318200004","BNB 12-13"
"134543400004","BNB 12-13"
"182440300004","BNB 12-13"
"182501700004","BNB 12-13"
"114675700004","BNB 12-13"
"182501900004","BNB 12-13"
"182502000004","BNB 12-13"
"133130000004","BNB 12-13"
"112247300004","BNB 12-13"
"142642900004","BNB 12-13"
"100068500004","PPV Froch Targets - Silo1"
"100078300004","PPV Froch Targets - Silo1"
"100089000004","PPV Froch Targets - Silo1"
"100092700004","PPV Froch Targets - Silo1"
"100092800004","PPV Froch Targets - Silo1"
"100093900004","PPV Froch Targets - Silo1"
"100110400004","PPV Froch Targets - Silo1"
"100115500004","PPV Froch Targets - Silo1"
"100126500004","PPV Froch Targets - Silo1"
"100127000004","PPV Froch Targets - Silo1"
"100127400004","PPV Froch Targets - Silo1"
"100146600004","PPV Froch Targets - Silo1"
"100152100004","PPV Froch Targets - Silo1"
"100154200004","PPV Froch Targets - Silo1"
"100154600004","PPV Froch Targets - Silo1"
"100164100004","PPV Froch Targets - Silo1"
"100202200004","PPV Froch Targets - Silo1"
"100204400004","PPV Froch Targets - Silo1"
"100231300004","PPV Froch Targets - Silo1"
"100234500004","PPV Froch Targets - Silo1"
"100238000004","PPV Froch Targets - Silo1"
"100260300004","PPV Froch Targets - Silo1"
"100261500004","PPV Froch Targets - Silo1"
"100265800004","PPV Froch Targets - Silo1"
"100274300004","PPV Froch Targets - Silo1"
"100280600004","PPV Froch Targets - Silo1"
"100283300004","PPV Froch Targets - Silo1"
"100283600004","PPV Froch Targets - Silo1"
"100284900004","PPV Froch Targets - Silo1"
