SubAccountNumber,EscalatedNote,Action
110364700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
110519100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
110615000004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
110635700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
110638600004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
110734400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
110752500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
110769400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
110785300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
110803600004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
110830500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
110845500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
