Sky Reference Number - Outlet,Total Weighting,Territory Code,,,,,,
131206800004,75,38,,,,,,
132602100004,75,38,,,,,,
135032500004,75,38,,,,,,
135071300004,75,38,,,,,,
135952600004,75,38,,,,,,
136171000004,75,38,,,,,,
136386700004,75,38,,,,,,
136517900004,75,38,,,,,,
136985800004,75,38,,,,,,
137039800004,75,38,,,,,,
137311700004,75,38,,,,,,
138382000004,75,38,,,,,,
139184700004,75,38,,,,,,
139509000004,75,38,,,,,,
142330100004,75,38,,,,,,
180179600005,75,38,,,,,,
180740500016,75,38,,,,,,
180849700004,75,38,,,,,,
181289300004,75,38,,,,,,
181400100260,75,38,,,,,,
181400103043,75,38,,,,,,
181400103094,75,38,,,,,,
181400103499,75,38,,,,,,
181407100004,75,38,,,,,,
182075700004,75,38,,,,,,
182440600004,75,38,,,,,,
182550400004,75,38,,,,,,
182901400004,75,38,,,,,,
183473100004,75,38,,,,,,
183621100004,75,38,,,,,,
183880000004,75,38,,,,,,
184198400004,75,38,,,,,,
184404700004,75,38,,,,,,
184413900004,75,38,,,,,,
184487700004,75,38,,,,,,
184562400004,75,38,,,,,,
184605700004,75,38,,,,,,
184776400004,75,38,,,,,,
129406200004,54,38,,,,,,
100507100004,47,38,,,,,,
104668900004,47,38,,,,,,
117468500004,47,38,,,,,,
121995300004,47,38,,,,,,
131302700004,47,38,,,,,,
134283500004,47,38,,,,,,
134676000004,47,38,,,,,,
136179300004,47,38,,,,,,
105267400004,45,38,,,,,,
116578900004,42,38,,,,,,
117509300004,42,38,,,,,,
125225600004,42,38,,,,,,
140380400004,42,38,,,,,,
142335200004,42,38,,,,,,
100597900004,40,38,,,,,,
100626400004,40,38,,,,,,
101666900004,40,38,,,,,,
102120500004,40,38,,,,,,
103466700004,40,38,,,,,,
104247100004,40,38,,,,,,
104592100004,40,38,,,,,,
105183300004,40,38,,,,,,
105442800004,40,38,,,,,,
107340600004,40,38,,,,,,
107392000004,40,38,,,,,,
107423900004,40,38,,,,,,
111319600004,40,38,,,,,,
111623200004,40,38,,,,,,
115368100004,40,38,,,,,,
116269400004,40,38,,,,,,
116846000004,40,38,,,,,,
117445600004,40,38,,,,,,
118089500004,40,38,,,,,,
118254100004,40,38,,,,,,
118609400004,40,38,,,,,,
119157000004,40,38,,,,,,
119872800004,40,38,,,,,,
120282900004,40,38,,,,,,
121281600004,40,38,,,,,,
123713100004,40,38,,,,,,
125212700004,40,38,,,,,,
129178500004,40,38,,,,,,
129925000004,40,38,,,,,,
131002100004,40,38,,,,,,
132168800004,40,38,,,,,,
132870100004,40,38,,,,,,
136425500004,40,38,,,,,,
137579000004,40,38,,,,,,
139326900004,40,38,,,,,,
139644800004,40,38,,,,,,
