Sky Ref Number,Weighting Value,Territory
181625300004,75,3
181619200004,75,3
183751300004,100,3
181626600004,70,3
185929600004,75,3
181868900004,98,3
182413100004,70,3
103227700004,75,3
184288000004,75,3
184508700004,75,3
184617300004,75,3
184789800004,98,3
185199900004,65,3
101120100004,75,3
101154600004,75,3
186330400004,9998,3
113734200004,10005,4
111642500004,10005,4
129985500004,10005,4
184259700004,10005,4
112845400004,10006,4
133748500004,60,4
137747900004,75,4
105615300004,75,4
139956000004,10005,4
126761500004,65,4
120792000004,60,4
116498200004,10005,4
124653300004,60,4
104378900004,60,4
126659900004,60,4
102326500004,10007,4
101895600004,10005,4
105436800004,10006,4
113260500004,10005,4
121231600004,10006,4
104231800004,70,4
105172500004,10005,4
115341000004,60,4
115702600004,60,4
100414500004,60,4
113069500004,60,4
136630000004,75,4
105602400004,9997,4
101412500004,10006,4
124314900004,10006,4
127552700004,10006,4
107026200004,60,4
136915900004,75,4
104667600004,10005,4
106648800004,10006,4
101346500004,10005,4
108315500004,70,4
104611000004,10006,4
105158900004,75,4
100092500004,10006,4
129904000004,10005,4
131497300004,10006,4
101638000004,10006,4
132729500004,10007,4
121809600004,10006,4
100871300004,10005,4
102988500004,75,4
104321100004,10006,4
126717700004,10006,4
104507400004,75,4
137948100004,75,4
122862600004,65,4
104693800004,10005,4
104908400004,10006,4
110824200004,60,4
126539300004,10006,4
100983200004,10007,4
123197300004,75,4
121546600004,60,4
104496700004,60,4
100426500004,75,4
103671800004,60,4
102133400004,10006,4
185065700004,10006,4
109400200004,10005,4
111639400004,10006,4
138954500004,10006,4
141699600004,10005,4
136617700004,75,4
142413900004,10005,4
182626200004,10005,4
124884500004,60,4
106958000004,60,4
102636700004,10007,4
123230000004,10006,4
184366700004,75,4
115276200004,60,4
127941200004,10006,4
136092600004,10006,4
116525800004,70,4
140729400004,10006,4
136128900004,80,4
106533400004,70,4
107169400004,75,4
120193900004,80,4
107066900004,10006,4
102363900004,10006,4
111639500004,65,4
120990500004,60,4
115431200004,10005,4
102661400004,75,4
136968300004,65,4
122385400004,10007,4
101065000004,75,4
186321000004,75,4
142524900004,10006,4
106913400004,60,4
133773500004,60,4
103466100004,60,4
127786800004,10006,4
106718100004,75,4
181280600004,75,4
140851000004,75,4
186202200004,10007,4
140871100004,10005,4
105260900004,60,4
131037500004,65,4
102421000004,10005,4
111312200004,10006,4
136122800004,75,4
124959400004,60,4
120804100004,60,4
104459500004,60,4
122787300004,10006,4
138037600004,90,4
129778500004,10005,4
103775300004,75,4
103550500004,60,4
141069900004,10006,4
124890800004,60,4
135996700004,75,4
101118700004,10005,4
121468100004,60,4
182739800004,10007,4
137107100004,65,4
111469000004,10006,4
120081100004,60,4
108651900004,10006,4
127961200004,10006,4
132843200004,60,4
119160900004,70,4
113553800004,98,4
133300700004,60,4
112918900004,60,4
125383100004,10006,4
106932800004,60,4
130319800004,75,4
126770600004,10006,4
101700200004,10005,4
128430900004,10005,4
183966000004,10006,4
101010500004,75,4
131433600004,10006,4
103353600004,70,4
104598600004,65,4
133552300004,60,4
125854500004,10005,4
129144000004,75,4
136995300004,10006,4
107081500004,60,4
100483000004,10007,4
138380300004,75,4
140642400004,10006,4
100980700004,60,4
119982200004,10005,4
127295200004,10005,4
120987300004,75,4
126055000004,10007,4
138463200004,10005,4
131696400004,10005,4
105795900004,10006,4
135818700004,60,4
